Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,deviation_factor,Number_of-units,cost,area,vert/hori_area_factor_z-axis,Avg_curvature_angle_z axis,vert/hori_area_factor_x-axis,Avarage curvatrure angle x axis,vert/hori_area_factor_y-axis,Avg_curvature_angle_y axis
-0.096543,-0.191042,0.068892,-0.120311,-0.096665,0.035929,0.201307,-0.148517,-0.239229,0.083568,81,345,17.074804,0.052837,84.370909,0.018768,17.599422,0.013741,18.387931
-0.083394,-0.169851,0.070653,-0.109468,-0.066171,0.027561,0.213775,-0.116555,-0.230694,0.079416,91,319,17.033813,0.058458,84.795105,0.013601,17.415584,0.009953,17.165132
-0.071094,-0.150128,0.074126,-0.099466,-0.038741,0.020952,0.225293,-0.088468,-0.223501,0.077956,91,329,17.05845,0.074311,84.796479,0.028881,16.681529,None,16.917722
-0.060645,-0.130923,0.08051,-0.091994,-0.015215,0.016445,0.234216,-0.065277,-0.218342,0.077831,88,349,17.111594,0.053874,84.255556,0.003568,17.756471,0.009783,18.7875
-0.053218,-0.110644,0.091842,-0.089174,0.003428,0.014689,0.238438,-0.048355,-0.216159,0.076924,94,360,17.160613,0.062041,83.808434,0.017693,18.094186,0.01991,20.134884
-0.005966,-0.049311,0.159074,-0.051446,0.051692,0.045275,0.267433,-0.028966,-0.204917,0.079044,91,329,17.450986,0.03308,82.739691,0.021885,18.881726,0.010272,22.968182
-0.00496,-0.016446,0.192311,-0.06228,0.061751,0.052918,0.257771,-0.026563,-0.211244,0.089848,97,343,17.464054,0.02557,81.888053,0.007529,18.544737,0.010598,25.310526
-0.014011,0.019833,0.232535,-0.087484,0.062698,0.061893,0.235451,-0.033175,-0.224795,0.087872,89,370,17.406095,0.046142,82.899497,0.008474,17.964706,None,22.773913
-0.027752,0.064187,0.28503,-0.121892,0.06008,0.074634,0.205197,-0.045697,-0.244215,0.08474,90,431,17.367695,0.044372,82.665,0.005181,18.139572,None,23.084043
-0.045852,0.11615,0.348798,-0.16483,0.055372,0.089979,0.168538,-0.061945,-0.269585,0.082526,96,357,17.41674,0.029908,82.803896,0.011153,18.655932,0.002393,22.53038
-0.067943,0.174372,0.422086,-0.215255,0.049729,0.10668,0.127267,-0.079917,-0.300784,0.084997,92,361,17.57795,0.025963,82.320913,0.018349,18.971053,0.006793,23.433333
-0.092834,0.235523,0.500697,-0.270343,0.044035,0.123316,0.084187,-0.097714,-0.336337,0.090175,94,386,17.881039,0.026185,81.288963,0.018422,20.506931,0.014194,24.888119
-0.115901,0.290162,0.57174,-0.320629,0.039294,0.13762,0.045928,-0.11281,-0.369533,0.090192,101,599,18.247839,0.026292,80.27493,0.008022,21.525824,0.001329,25.972131
-0.125591,0.318018,0.605969,-0.34381,0.037085,0.146014,0.025991,-0.121574,-0.383112,0.089728,108,629,18.459303,0.018162,79.343544,0.007568,22.302494,0.001148,27.779404
-0.112658,0.305946,0.582712,-0.3233,0.038344,0.14722,0.032677,-0.122845,-0.362971,0.090652,104,409,18.315762,0.013876,80.090244,0.003333,21.491711,0.011633,26.982973
-0.085441,0.271581,0.525788,-0.276419,0.041688,0.145297,0.053856,-0.120774,-0.321336,0.09418,92,369,18.002263,0.029483,80.933523,0.021121,20.228691,0.013556,25.715
-0.055655,0.235242,0.464646,-0.225638,0.045459,0.143744,0.075999,-0.118935,-0.275708,0.08664,89,396,17.716215,0.016357,82.369014,0.008729,18.190625,0.011272,23.785714
-0.028576,0.204352,0.410987,-0.180353,0.048911,0.143323,0.094332,-0.118182,-0.234072,0.081129,80,401,17.522837,0.02859,82.752465,0.015686,17.492388,0.00706,22.654639
-0.005976,0.179921,0.367426,-0.143112,0.051752,0.143642,0.108383,-0.118231,-0.199193,0.082293,85,400,17.410371,0.040765,83.144444,0.007129,16.717857,0.025618,21.892771
0.011596,0.161111,0.333769,-0.114242,0.053836,0.144111,0.118885,-0.118593,-0.171981,0.081134,77,332,17.343323,0.032598,83.749541,0.0191,15.851351,0.00873,20.755752
-0.564404,-0.574969,-0.444665,-0.47807,-0.408846,-0.288172,-0.059313,-0.187304,-0.395412,0.109255,127,437,20.803852,0.008756,72.235407,0.010728,31.319427,0.00396,31.972108
-0.525359,-0.560447,-0.427631,-0.433533,-0.37488,-0.274195,-0.021404,-0.167429,-0.379252,0.119195,117,420,20.18985,0.011391,73.815929,0.013283,29.84788,0.021774,30.819823
-0.478484,-0.542812,-0.403577,-0.375671,-0.334925,-0.253544,0.026695,-0.146437,-0.36105,0.094586,113,391,19.493866,0.016474,75.828947,0.008369,28.575,0.006698,27.637255
-0.454858,-0.533567,-0.381462,-0.340539,-0.31942,-0.233599,0.053299,-0.146053,-0.355248,0.095636,109,402,19.140598,0.011285,77.692874,0.007215,26.153191,0.016578,26.26383
